               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.12085,0.030439,0,0.0017317,0.071429,0.00068845,0.00014553,0.11633,0.027351,0,5.00E-05,5.00E-05,0.09955
1,0.11604,0.026988,0,0.027939,0.011905,0.0019976,0.00035374,0.10916,0.025215,0,0.00011,0.00011,0.09901
2,0.10947,0.024747,0,0.0056072,0.047619,0.0014982,0.00031419,0.10307,0.023979,0,0.00016998,0.00016998,0.09847
3,0.10519,0.023971,0,0.0095749,0.16667,0.0032948,0.00050365,0.096212,0.023801,0,0.00022995,0.00022995,0.09793
4,0.10069,0.024088,0,0.0065361,0.10714,0.0023456,0.00054104,0.089394,0.024268,0,0.00028989,0.00028989,0.09739
5,0.095725,0.022638,0,0.010022,0.059524,0.0031349,0.00081972,0.084513,0.024499,0,0.00034978,0.00034978,0.09685
6,0.091481,0.022594,0,0.011585,0.11905,0.0046288,0.00099387,0.08067,0.024578,0,0.00040964,0.00040964,0.09631
7,0.086097,0.024027,0,0.025607,0.083333,0.010059,0.0026093,0.076076,0.024843,0,0.00046943,0.00046943,0.095769
8,0.083342,0.021956,0,0.051681,0.22619,0.032942,0.011122,0.072149,0.025045,0,0.00052916,0.00052916,0.095229
9,0.080555,0.023788,0,0.2493,0.24907,0.14116,0.054395,0.067696,0.025127,0,0.00058882,0.00058882,0.094689
10,0.07412,0.021464,0,0.42903,0.37574,0.32154,0.13605,0.065568,0.024604,0,0.0006484,0.0006484,0.094148
11,0.071474,0.022154,0,0.4182,0.5648,0.44796,0.20341,0.057214,0.025298,0,0.00070788,0.00070788,0.093608
12,0.066242,0.021709,0,0.52778,0.5119,0.51877,0.24804,0.061595,0.023573,0,0.00076727,0.00076727,0.093067
13,0.063876,0.021879,0,0.58447,0.56933,0.57015,0.28666,0.055016,0.024102,0,0.00082654,0.00082654,0.092527
14,0.062061,0.021087,0,0.56545,0.5119,0.55158,0.24465,0.058562,0.022475,0,0.0008857,0.0008857,0.091986
15,0.062758,0.020507,0,0.69206,0.60714,0.68871,0.36153,0.057198,0.02186,0,0.00094474,0.00094474,0.091445
16,0.060799,0.020799,0,0.53345,0.55809,0.59453,0.24616,0.058771,0.020868,0,0.0010036,0.0010036,0.090904
17,0.060872,0.021815,0,0.60682,0.63095,0.64937,0.19987,0.054719,0.021063,0,0.0010624,0.0010624,0.090362
18,0.05781,0.018432,0,0.70058,0.72425,0.766,0.38913,0.048667,0.021384,0,0.001121,0.001121,0.089821
19,0.059315,0.019439,0,0.49214,0.7619,0.60714,0.16513,0.065046,0.017888,0,0.0011794,0.0011794,0.089279
20,0.060766,0.018522,0,0.72495,0.69048,0.74622,0.24846,0.050613,0.020136,0,0.0012377,0.0012377,0.088738
21,0.055874,0.019792,0,0.65495,0.6779,0.66045,0.19142,0.050517,0.019623,0,0.0012958,0.0012958,0.088196
22,0.05209,0.020172,0,0.61708,0.71429,0.72147,0.30143,0.053424,0.018779,0,0.0013537,0.0013537,0.087654
